student_code,subject_code
S0159,politics
S0159,geography
S0160,history
S0160,politics
S0160,geography
S0161,physics
S0161,chemistry
S0161,biology
S0162,physics
S0162,chemistry
S0162,biology
S0163,physics
S0163,chemistry
S0163,biology
S0164,physics
S0164,chemistry
S0164,biology
S0165,physics
S0165,chemistry
S0165,biology
S0166,physics
S0166,chemistry
S0166,biology
S0167,physics
S0167,chemistry
S0167,biology
S0168,physics
S0168,chemistry
S0168,biology
S0169,physics
S0169,chemistry
S0169,biology
S0170,physics
S0170,chemistry
S0170,biology
S0171,physics
S0171,chemistry
S0171,biology
S0172,physics
S0172,chemistry
S0172,biology
S0173,physics
S0173,chemistry
S0173,biology
S0174,physics
S0174,chemistry
S0174,biology
S0175,physics
S0175,chemistry
S0175,biology
S0176,physics
S0176,chemistry
S0176,biology
S0177,physics
S0177,chemistry
S0177,biology
S0178,physics
S0178,chemistry
S0178,biology
S0179,physics
S0179,chemistry
S0179,biology
S0180,physics
S0180,chemistry
S0180,biology
S0181,history
S0181,politics
S0181,geography
S0182,history
S0182,politics
S0182,geography
S0183,history
S0183,politics
S0183,geography
S0184,history
S0184,politics
S0184,geography
S0185,history
S0185,politics
S0185,geography
S0186,history
S0186,politics
S0186,geography
S0187,history
S0187,politics
S0187,geography
S0188,history
S0188,politics
S0188,geography
S0189,history
S0189,politics
S0189,geography
S0190,history
S0190,politics
S0190,geography
S0191,history
S0191,politics
S0191,geography
S0192,history
S0192,politics
S0192,geography
S0193,history
S0193,politics
S0193,geography
S0194,history
S0194,politics
S0194,geography
S0195,history
S0195,politics
S0195,geography
S0196,history
S0196,politics
S0196,geography
S0197,history
S0197,politics
S0197,geography
S0198,history
S0198,politics
S0198,geography
S0199,history
S0199,politics
S0199,geography
S0200,history
S0200,politics
S0200,geography
S0201,physics
S0201,chemistry
S0201,biology
S0202,physics
S0202,chemistry
S0202,biology
S0203,physics
S0203,chemistry
S0203,biology
S0204,physics
S0204,chemistry
S0204,biology
S0205,physics
S0205,chemistry
S0205,biology
S0206,physics
S0206,chemistry
S0206,biology
S0207,physics
S0207,chemistry
S0207,biology
S0208,physics
S0208,chemistry
S0208,biology
S0209,physics
S0209,chemistry
S0209,biology
S0210,physics
S0210,chemistry
S0210,biology
S0211,physics
S0211,chemistry
S0211,biology
S0212,physics
S0212,chemistry
S0212,biology
S0213,physics
S0213,chemistry
S0213,biology
S0214,physics
S0214,chemistry
S0214,biology
S0215,physics
S0215,chemistry
S0215,biology
S0216,physics
S0216,chemistry
S0216,biology
S0217,physics
S0217,chemistry
S0217,biology
S0218,physics
S0218,chemistry
S0218,biology
S0219,physics
S0219,chemistry
S0219,biology
S0220,physics
S0220,chemistry
S0220,biology
S0221,history
S0221,politics
S0221,geography
S0222,history
S0222,politics
S0222,geography
S0223,history
S0223,politics
S0223,geography
S0224,history
S0224,politics
S0224,geography
S0225,history
S0225,politics
S0225,geography
S0226,history
S0226,politics
S0226,geography
S0227,history
S0227,politics
S0227,geography
S0228,history
S0228,politics
S0228,geography
S0229,history
S0229,politics
S0229,geography
S0230,history
S0230,politics
S0230,geography
S0231,history
S0231,politics
S0231,geography
S0232,history
S0232,politics
S0232,geography
S0233,history
S0233,politics
S0233,geography
S0234,history
S0234,politics
S0234,geography
S0235,history
S0235,politics
S0235,geography
S0236,history
S0236,politics
S0236,geography
S0237,history
S0237,politics
S0237,geography
S0238,history
S0238,politics
S0238,geography
S0239,history
S0239,politics
S0239,geography
S0240,history
S0240,politics
S0240,geography
S0241,physics
S0241,chemistry
S0241,biology
S0242,physics
S0242,chemistry
S0242,biology
S0243,physics
S0243,chemistry
S0243,biology
S0244,physics
S0244,chemistry
S0244,biology
S0245,physics
S0245,chemistry
S0245,biology
S0246,physics
S0246,chemistry
S0246,biology
S0247,physics
S0247,chemistry
S0247,biology
S0248,physics
S0248,chemistry
S0248,biology
S0249,physics
S0249,chemistry
S0249,biology
S0250,physics
S0250,chemistry
S0250,biology
S0251,physics
S0251,chemistry
S0251,biology
S0252,physics
S0252,chemistry
S0252,biology
S0253,physics
S0253,chemistry
S0253,biology
S0254,physics
S0254,chemistry
S0254,biology
S0255,physics
S0255,chemistry
S0255,biology
S0256,physics
S0256,chemistry
S0256,biology
S0257,physics
S0257,chemistry
S0257,biology
S0258,physics
S0258,chemistry
S0258,biology
S0259,physics
S0259,chemistry
S0259,biology
S0260,physics
S0260,chemistry
S0260,biology
S0261,history
S0261,politics
S0261,geography
S0262,history
S0262,politics
S0262,geography
S0263,history
S0263,politics
S0263,geography
S0264,history
S0264,politics
S0264,geography
S0265,history
S0265,politics
S0265,geography
S0266,history
S0266,politics
S0266,geography
S0267,history
S0267,politics
S0267,geography
S0268,history
S0268,politics
S0268,geography
S0269,history
S0269,politics
S0269,geography
S0270,history
S0270,politics
S0270,geography
S0271,history
S0271,politics
S0271,geography
S0272,history
S0272,politics
S0272,geography
S0273,history
S0273,politics
S0273,geography
S0274,history
S0274,politics
S0274,geography
S0275,history
S0275,politics
S0275,geography
S0276,history
S0276,politics
S0276,geography
S0277,history
S0277,politics
S0277,geography
S0278,history
S0278,politics
S0278,geography
S0279,history
S0279,politics
S0279,geography
S0280,history
S0280,politics
S0280,geography
S0281,physics
S0281,chemistry
S0281,biology
S0282,physics
S0282,chemistry
S0282,biology
S0283,physics
S0283,chemistry
S0283,biology
S0284,physics
S0284,chemistry
S0284,biology
S0285,physics
S0285,chemistry
S0285,biology
S0286,physics
S0286,chemistry
S0286,biology
S0287,physics
S0287,chemistry
S0287,biology
S0288,physics
S0288,chemistry
S0288,biology
S0289,physics
S0289,chemistry
S0289,biology
S0290,physics
S0290,chemistry
S0290,biology
S0291,physics
S0291,chemistry
S0291,biology
S0292,physics
S0292,chemistry
S0292,biology
S0293,physics
S0293,chemistry
S0293,biology
S0294,physics
S0294,chemistry
S0294,biology
S0295,physics
S0295,chemistry
S0295,biology
S0296,physics
S0296,chemistry
S0296,biology
S0297,physics
S0297,chemistry
S0297,biology
S0298,physics
S0298,chemistry
S0298,biology
S0299,physics
S0299,chemistry
S0299,biology
S0300,physics
S0300,chemistry
S0300,biology
S0301,history
S0301,politics
S0301,geography
S0302,history
S0302,politics
S0302,geography
S0303,history
S0303,politics
S0303,geography
S0304,history
S0304,politics
S0304,geography
S0305,history
S0305,politics
S0305,geography
S0306,history
S0306,politics
S0306,geography
S0307,history
S0307,politics
S0307,geography
S0308,history
S0308,politics
S0308,geography
S0309,history
S0309,politics
S0309,geography
S0310,history
S0310,politics
S0310,geography
S0311,history
S0311,politics
S0311,geography
S0312,history
S0312,politics
S0312,geography
S0313,history
S0313,politics
S0313,geography
S0314,history
S0314,politics
S0314,geography
S0315,history
S0315,politics
S0315,geography
S0316,history
S0316,politics
S0316,geography
S0317,history
S0317,politics
S0317,geography
S0318,history
S0318,politics
S0318,geography
S0319,history
S0319,politics
S0319,geography
S0320,history
S0320,politics
S0320,geography
S0321,physics
S0321,chemistry
S0321,biology
S0322,physics
S0322,chemistry
S0322,biology
S0323,physics
S0323,chemistry
S0323,biology
S0324,physics
S0324,chemistry
S0324,biology
S0325,physics
S0325,chemistry
S0325,biology
S0326,physics
S0326,chemistry
S0326,biology
S0327,physics
S0327,chemistry
S0327,biology
S0328,physics
S0328,chemistry
S0328,biology
S0329,physics
S0329,chemistry
S0329,biology
S0330,physics
S0330,chemistry
S0330,biology
S0331,physics
S0331,chemistry
S0331,biology
S0332,physics
S0332,chemistry
S0332,biology
S0333,physics
S0333,chemistry
S0333,biology
S0334,physics
S0334,chemistry
S0334,biology
S0335,physics
S0335,chemistry
S0335,biology
S0336,physics
S0336,chemistry
S0336,biology
S0337,physics
S0337,chemistry
S0337,biology
S0338,physics
S0338,chemistry
S0338,biology
S0339,physics
S0339,chemistry
S0339,biology
S0340,physics
S0340,chemistry
S0340,biology
S0341,history
S0341,politics
S0341,geography
S0342,history
S0342,politics
S0342,geography
S0343,history
S0343,politics
S0343,geography
S0344,history
S0344,politics
S0344,geography
S0345,history
S0345,politics
S0345,geography
S0346,history
S0346,politics
S0346,geography
S0347,history
S0347,politics
S0347,geography
S0348,history
S0348,politics
S0348,geography
S0349,history
S0349,politics
S0349,geography
S0350,history
S0350,politics
S0350,geography
S0351,history
S0351,politics
S0351,geography
S0352,history
S0352,politics
S0352,geography
S0353,history
S0353,politics
S0353,geography
S0354,history
S0354,politics
S0354,geography
S0355,history
S0355,politics
S0355,geography
S0356,history
S0356,politics
S0356,geography
S0357,history
S0357,politics
S0357,geography
S0358,history
S0358,politics
S0358,geography
S0359,history
S0359,politics
S0359,geography
S0360,history
S0360,politics
S0360,geography
S0361,physics
S0361,chemistry
S0361,biology
S0362,physics
S0362,chemistry
S0362,biology
S0363,physics
S0363,chemistry
S0363,biology
S0364,physics
S0364,chemistry
S0364,biology
S0365,physics
S0365,chemistry
S0365,biology
S0366,physics
S0366,chemistry
S0366,biology
S0367,physics
S0367,chemistry
S0367,biology
S0368,physics
S0368,chemistry
S0368,biology
S0369,physics
S0369,chemistry
S0369,biology
S0370,physics
S0370,chemistry
S0370,biology
S0371,physics
S0371,chemistry
S0371,biology
S0372,physics
S0372,chemistry
S0372,biology
S0373,physics
S0373,chemistry
S0373,biology
S0374,physics
S0374,chemistry
S0374,biology
S0375,physics
S0375,chemistry
S0375,biology
S0376,physics
S0376,chemistry
S0376,biology
S0377,physics
S0377,chemistry
S0377,biology
S0378,physics
S0378,chemistry
S0378,biology
S0379,physics
S0379,chemistry
S0379,biology
S0380,physics
S0380,chemistry
S0380,biology
S0381,history
S0381,politics
S0381,geography
S0382,history
S0382,politics
S0382,geography
S0383,history
S0383,politics
S0383,geography
S0384,history
S0384,politics
S0384,geography
S0385,history
S0385,politics
S0385,geography
S0386,history
S0386,politics
S0386,geography
S0387,history
S0387,politics
S0387,geography
S0388,history
S0388,politics
S0388,geography
S0389,history
S0389,politics
S0389,geography
S0390,history
S0390,politics
S0390,geography
S0391,history
S0391,politics
S0391,geography
S0392,history
S0392,politics
S0392,geography
S0393,history
S0393,politics
S0393,geography
S0394,history
S0394,politics
S0394,geography
S0395,history
S0395,politics
S0395,geography
S0396,history
S0396,politics
S0396,geography
S0397,history
S0397,politics
S0397,geography
S0398,history
S0398,politics
S0398,geography
S0399,history
S0399,politics
S0399,geography
S0400,history
S0400,politics
S0400,geography
S0401,physics
S0401,chemistry
S0401,biology
S0402,physics
S0402,chemistry
S0402,biology
S0403,physics
S0403,chemistry
S0403,biology
S0404,physics
S0404,chemistry
S0404,biology
S0405,physics
S0405,chemistry
S0405,biology
S0406,physics
S0406,chemistry
S0406,biology
S0407,physics
S0407,chemistry
S0407,biology
S0408,physics
S0408,chemistry
S0408,biology
S0409,physics
S0409,chemistry
S0409,biology
S0410,physics
S0410,chemistry
S0410,biology
S0411,physics
S0411,chemistry
S0411,biology
S0412,physics
S0412,chemistry
S0412,biology
S0413,physics
S0413,chemistry
S0413,biology
S0414,physics
S0414,chemistry
S0414,biology
S0415,physics
S0415,chemistry
S0415,biology
S0416,physics
S0416,chemistry
S0416,biology
S0417,physics
S0417,chemistry
S0417,biology
S0418,physics
S0418,chemistry
S0418,biology
S0419,physics
S0419,chemistry
S0419,biology
S0420,physics
S0420,chemistry
S0420,biology
S0421,history
S0421,politics
S0421,geography
S0422,history
S0422,politics
S0422,geography
S0423,history
S0423,politics
S0423,geography
S0424,history
S0424,politics
S0424,geography
S0425,history
S0425,politics
S0425,geography
S0426,history
S0426,politics
S0426,geography
S0427,history
S0427,politics
S0427,geography
S0428,history
S0428,politics
S0428,geography
S0429,history
S0429,politics
S0429,geography
S0430,history
S0430,politics
S0430,geography
S0431,history
S0431,politics
S0431,geography
S0432,history
S0432,politics
S0432,geography
S0433,history
S0433,politics
S0433,geography
S0434,history
S0434,politics
S0434,geography
S0435,history
S0435,politics
S0435,geography
S0436,history
S0436,politics
S0436,geography
S0437,history
S0437,politics
S0437,geography
S0438,history
S0438,politics
S0438,geography
S0439,history
S0439,politics
S0439,geography
S0440,history
S0440,politics
S0440,geography
S0441,physics
S0441,chemistry
S0441,biology
S0442,physics
S0442,chemistry
S0442,biology
S0443,physics
S0443,chemistry
S0443,biology
S0444,physics
S0444,chemistry
S0444,biology
S0445,physics
S0445,chemistry
S0445,biology
S0446,physics
S0446,chemistry
S0446,biology
S0447,physics
S0447,chemistry
S0447,biology
S0448,physics
S0448,chemistry
S0448,biology
S0449,physics
S0449,chemistry
S0449,biology
S0450,physics
S0450,chemistry
S0450,biology
S0451,physics
S0451,chemistry
S0451,biology
S0452,physics
S0452,chemistry
S0452,biology
S0453,physics
S0453,chemistry
S0453,biology
S0454,physics
S0454,chemistry
S0454,biology
S0455,physics
S0455,chemistry
S0455,biology
S0456,physics
S0456,chemistry
S0456,biology
S0457,physics
S0457,chemistry
S0457,biology
S0458,physics
S0458,chemistry
S0458,biology
S0459,physics
S0459,chemistry
S0459,biology
S0460,physics
S0460,chemistry
S0460,biology
S0461,history
S0461,politics
S0461,geography
S0462,history
S0462,politics
S0462,geography
S0463,history
S0463,politics
S0463,geography
S0464,history
S0464,politics
S0464,geography
S0465,history
S0465,politics
S0465,geography
S0466,history
S0466,politics
S0466,geography
S0467,history
S0467,politics
S0467,geography
S0468,history
S0468,politics
S0468,geography
S0469,history
S0469,politics
S0469,geography
S0470,history
S0470,politics
S0470,geography
S0471,history
S0471,politics
S0471,geography
S0472,history
S0472,politics
S0472,geography
S0473,history
S0473,politics
S0473,geography
S0474,history
S0474,politics
S0474,geography
S0475,history
S0475,politics
S0475,geography
S0476,history
S0476,politics
S0476,geography
S0477,history
S0477,politics
S0477,geography
S0478,history
S0478,politics
S0478,geography
S0479,history
S0479,politics
S0479,geography
S0480,history
S0480,politics
S0480,geography
