course_plan_code,audience_kind,audience_code,teacher_assignment,teacher_codes,room_policy,room_candidates,preferred_rooms,fallback_rooms
CP-PE,administrative_class,AC07,fixed,T-PE-01,,,,
CP-INFO,administrative_class,AC07,fixed,T-INFO-01,,,,
CP-ART,administrative_class,AC07,fixed,T-ART-01,,,,
CP-MUSIC,administrative_class,AC07,fixed,T-MUSIC-01,,,,
CP-LABOR,administrative_class,AC07,fixed,T-LABOR-01,,,,
CP-MEETING,administrative_class,AC07,fixed,T-CHN-07,,,,
CP-CHINESE,administrative_class,AC08,fixed,T-CHN-08,,,,
CP-MATH,administrative_class,AC08,fixed,T-MATH-08,,,,
CP-ENGLISH,administrative_class,AC08,fixed,T-ENG-08,,,,
CP-PE,administrative_class,AC08,fixed,T-PE-02,,,,
CP-INFO,administrative_class,AC08,fixed,T-INFO-02,,,,
CP-ART,administrative_class,AC08,fixed,T-ART-02,,,,
CP-MUSIC,administrative_class,AC08,fixed,T-MUSIC-02,,,,
CP-LABOR,administrative_class,AC08,fixed,T-LABOR-02,,,,
CP-MEETING,administrative_class,AC08,fixed,T-CHN-08,,,,
CP-CHINESE,administrative_class,AC09,fixed,T-CHN-09,,,,
CP-MATH,administrative_class,AC09,fixed,T-MATH-09,,,,
CP-ENGLISH,administrative_class,AC09,fixed,T-ENG-09,,,,
CP-PE,administrative_class,AC09,fixed,T-PE-03,,,,
CP-INFO,administrative_class,AC09,fixed,T-INFO-03,,,,
CP-ART,administrative_class,AC09,fixed,T-ART-03,,,,
CP-MUSIC,administrative_class,AC09,fixed,T-MUSIC-03,,,,
CP-LABOR,administrative_class,AC09,fixed,T-LABOR-03,,,,
CP-MEETING,administrative_class,AC09,fixed,T-CHN-09,,,,
CP-CHINESE,administrative_class,AC10,fixed,T-CHN-10,,,,
CP-MATH,administrative_class,AC10,fixed,T-MATH-10,,,,
CP-ENGLISH,administrative_class,AC10,fixed,T-ENG-10,,,,
CP-PE,administrative_class,AC10,fixed,T-PE-04,,,,
CP-INFO,administrative_class,AC10,fixed,T-INFO-04,,,,
CP-ART,administrative_class,AC10,fixed,T-ART-01,,,,
CP-MUSIC,administrative_class,AC10,fixed,T-MUSIC-01,,,,
CP-LABOR,administrative_class,AC10,fixed,T-LABOR-01,,,,
CP-MEETING,administrative_class,AC10,fixed,T-CHN-10,,,,
CP-CHINESE,administrative_class,AC11,fixed,T-CHN-11,,,,
CP-MATH,administrative_class,AC11,fixed,T-MATH-11,,,,
CP-ENGLISH,administrative_class,AC11,fixed,T-ENG-11,,,,
CP-PE,administrative_class,AC11,fixed,T-PE-05,,,,
CP-INFO,administrative_class,AC11,fixed,T-INFO-05,,,,
CP-ART,administrative_class,AC11,fixed,T-ART-02,,,,
CP-MUSIC,administrative_class,AC11,fixed,T-MUSIC-02,,,,
CP-LABOR,administrative_class,AC11,fixed,T-LABOR-02,,,,
CP-MEETING,administrative_class,AC11,fixed,T-CHN-11,,,,
CP-CHINESE,administrative_class,AC12,fixed,T-CHN-12,,,,
CP-MATH,administrative_class,AC12,fixed,T-MATH-12,,,,
CP-ENGLISH,administrative_class,AC12,fixed,T-ENG-12,,,,
CP-PE,administrative_class,AC12,fixed,T-PE-06,,,,
CP-INFO,administrative_class,AC12,fixed,T-INFO-06,,,,
CP-ART,administrative_class,AC12,fixed,T-ART-03,,,,
CP-MUSIC,administrative_class,AC12,fixed,T-MUSIC-03,,,,
CP-LABOR,administrative_class,AC12,fixed,T-LABOR-03,,,,
CP-MEETING,administrative_class,AC12,fixed,T-CHN-12,,,,
